ID        USERNAME                 PASSWORD                 NAME                                    ADDRESS                                           Customer Type                 MAJOR STUDY                                       WORK DEPARTMENT                         
8087      aron                     ron1                     Aaron                                   1, Jalan 1, Bandar 1, Malaysia                    Normal Customer               -                                                 -                                       
8590      abel                     bel2                     Abbey                                   2, Jalan 2, Bandar 2, Malaysia                    Normal Customer               -                                                 -                                       
8744      John                     john3                    John Quincy                             3, Jalan 3, Bandar 3, Malaysia                    Normal Customer               -                                                 -                                       
8884      joseph                   joa                      Joseph Lew                              A, Jalan A, Bandar A, Malaysia                    Normal Customer               -                                                 -                                       
9113      peter                    jasb                     Peter Jasper                            B, Jalan B, Bandar B, Malaysia                    Normal Customer               -                                                 -                                       
9478      patrick                  bell23                   Patrick Campbell                        C, Jalan C, Bandar C, Malaysia                    MMU Staff                     -                                                 Faculty Of Information Science And Technology
1357      tan                      dav5                     David Tan                               D, Jalan D, Bandar D, Malaysia                    MMU Staff                     -                                                 Faculty Of Applied Communication        
1745      jmin                     min01                    Lim Jia Min                             E, Jalan E, Bandar E, Malaysia                    MMU Student                   Information Technology & Computer Science         -                                       
1863      xchen                    chen10                   Lee Xin Chen                            4, Jalan 4, Bandar 4, Malaysia                    MMU Student                   Information Technology & Computer Science         -                                       
2134      james                    james345                 James Branch                            5, Jalan 5, Bandar 5, Malaysia                    Normal Customer               -                                                 -                                       
2921      ray                      ray999                   Ray Lee                                 F, Jalan F, Bandar F, Malaysia                    MMU Staff                     -                                                 Faculty Of Business                     
3199      charlie                  char333                  Charlie Liew                            6, Jalan 6, Bandar 6, Malaysia                    Normal Customer               -                                                 -                                       
5690      chery                    yaw666                   Cherryh Yaw                             G, Jalan G, Bandar G, Malaysia                    MMU Student                   Cinematic Arts                                    -                                       
6017      william                  wil78                    William Ellery                          H, Jalan H, Bandar H, Malaysia                    MMU Student                   Law                                               -                                       
6226      eric                     aeiou*                   Eric Chan                               I, Jalan I, Bandar I, Malaysia                    MMU Student                   Engineering                                       -                                       
6481      emily                    emily7                   Tan Zhi Ying                            7, Jalan 7, Bandar 7, Malaysia                    MMU Staff                     -                                                 Faculty Of Computing And Informatics    
6690      richard                  hi&78                    Richard Law                             8, Jalan 8, Bandar 8, Malaysia                    Normal Customer               -                                                 -                                       
6846      Jack                     jack00                   Chan Cai Ye                             9, Jalan 9, Bandar 9, Malaysia                    Normal Customer               -                                                 -                                       
7392      kahsin                   sin789                   Lee Kah Sin                             10, Jalan 10, Bandar 10, Malaysia                 MMU Student                   Engineering                                       -                                       
7699      fiqah                    nur_11                   Nur Syafiqah                            J, Jalan J, Bandar J, Malaysia                    MMU Student                   Creative Multimedia                               -                                       
7960      henry                    hen#88                   Henry Chin                              K, Jalan K, Bandar K, Malaysia                    MMU Staff                     -                                                 Faculty Of Creative Multimedia          
8237      paul5                    !jim                     Paul Jim                                L, Jalan L, Bandar L, Malaysia                    Normal Customer               -                                                 -                                       
8825      jasmin08                 minmin$                  Jasmine Than                            M, Jalan M, Bandar M, Malaysia                    MMU Student                   Business & Accounting                             -                                       
9060      lim                      lim@qq                   Joseph Lim                              11, Jalan 11, Bandar 11, Malaysia                 MMU Student                   Business & Accounting                             -                                       
9390      jyan5                    yan25%                   Jia Yan                                 12, Jalan 12, Bandar 12, Malaysia                 MMU Student                   Business & Accounting                             -                                       
9602      yingg                    halo**                   Tiew Jie Ying                           13, Jalan 13, Bandar 13, Malaysia                 MMU Student                   Strategic Communication                           -                                       
1014      faruk                    faruk99                  Muhammad Ahmad Faruk                    14, Jalan 14, Bandar 14, Malaysia                 MMU Staff                     -                                                 Faculty Of Cinematic Arts               
1262      amirul                   amirul^^                 Muhammad Amirul                         15, Jalan 15, Bandar 15, Malaysia                 MMU Staff                     -                                                 Faculty Of Cinematic Arts               
2570      syah                     (syah)                   Nurul Syahirah                          N, Jalan N, Bandar N, Malaysia                    MMU Staff                     -                                                 Faculty Of Engineering                  
3351      harry                    01harry10                Harry Emerson                           O, Jalan O, Bandar O, Malaysia                    MMU Staff                     -                                                 Faculty Of Engineering                  
